,rating
1393,1
913,0
713,0
501,0
124,0
198,0
907,0
1377,1
1307,1
871,1
648,1
1222,0
587,1
866,1
1287,0
506,1
1322,0
879,0
565,0
1297,0
818,0
1325,0
1086,0
1409,0
737,0
1430,1
61,0
590,0
670,0
92,0
943,0
1212,0
1411,0
40,0
1059,1
75,0
530,0
1328,0
801,0
615,0
784,0
247,0
862,1
771,0
838,0
1001,0
494,1
186,0
568,0
156,0
459,1
312,0
8,0
805,0
1410,0
930,0
1003,0
621,1
473,0
1214,0
529,0
1298,0
672,0
1149,1
1097,0
1542,1
729,0
795,0
445,0
1220,1
746,0
1234,0
195,0
1417,0
1344,0
957,0
634,0
720,0
491,0
240,0
810,0
686,1
1394,0
546,0
243,0
511,0
401,0
582,0
487,0
1315,0
632,0
942,0
1416,0
1228,1
477,0
1382,0
1463,0
751,0
1173,1
1302,0
937,0
471,0
1389,1
1127,0
259,0
1196,1
557,0
877,0
682,0
922,0
251,0
411,0
569,0
249,0
679,0
1000,0
1227,0
1433,1
426,0
1237,1
579,0
743,0
1367,0
1161,0
1069,0
1286,0
1408,0
935,0
553,0
1239,0
1500,1
1038,1
1484,1
194,0
474,1
1356,0
1101,0
49,1
1014,1
1467,0
1177,0
44,0
1268,0
245,0
1388,1
300,0
1533,0
269,0
536,1
1158,0
1515,1
283,0
1072,0
406,0
338,0
466,0
363,0
892,0
320,0
1193,0
1029,0
70,0
500,1
10,1
798,0
505,0
1324,1
760,0
1354,1
64,1
1412,1
1462,1
416,0
575,0
205,0
328,0
486,1
1178,0
1301,1
915,0
528,1
1477,0
418,0
1537,0
1225,0
642,0
583,1
817,0
472,1
1249,1
131,0
15,0
988,1
1447,0
476,0
820,0
1135,0
955,1
1503,0
103,0
60,0
986,0
1021,0
391,0
165,1
1179,0
1371,1
349,0
185,1
1223,0
371,0
117,0
725,0
252,0
507,0
1531,1
311,0
717,0
395,1
358,1
263,0
359,1
781,0
1414,1
1426,0
1347,0
1471,0
16,0
51,0
1187,0
1191,0
601,0
880,0
351,0
1400,0
1522,0
1429,0
793,0
1045,0
97,1
1139,0
1476,1
196,0
657,0
183,0
1355,0
1497,1
613,1
1230,0
1205,0
533,0
610,0
785,0
81,0
789,0
397,0
267,0
589,0
386,0
1333,0
1340,0
132,0
265,0
1445,1
1276,1
88,1
924,0
1508,1
1136,1
629,0
1257,1
1197,0
294,0
261,0
853,1
733,0
1274,0
1494,1
405,0
965,0
356,0
608,0
239,0
1018,0
1269,1
1099,0
119,0
916,0
864,0
374,0
453,0
110,0
1262,0
1314,0
1294,1
1245,1
503,1
1168,0
1190,1
823,0
1368,1
997,1
367,0
1525,1
384,0
200,0
65,0
1282,0
840,1
1185,1
272,0
1341,1
846,1
677,0
238,1
1459,0
861,0
541,0
478,0
933,0
1194,0
1386,1
1470,1
1359,1
188,0
1017,0
681,0
1509,0
1032,0
316,0
214,0
1012,0
1422,0
1024,1
660,0
531,0
255,0
30,1
662,0
1182,0
230,0
1437,0
385,0
1186,1
985,0
1002,0
721,0
264,0
101,1
13,1
1203,0
1506,0
904,0
1052,0
940,0
1495,1
566,0
1296,0
911,0
523,1
626,0
495,1
828,0
155,1
1056,0
1342,0
1275,0
1540,0
366,0
1030,0
228,0
417,0
206,0
742,0
79,0
190,0
492,0
839,0
145,0
970,0
318,0
1062,0
946,0
934,0
457,0
144,0
1283,0
1244,1
1334,0
764,0
1078,0
1332,0
878,0
796,0
592,0
923,1
981,0
83,0
982,1
154,1
1079,0
1211,0
773,0
984,0
127,0
1110,0
1229,0
403,0
150,0
346,0
413,0
1057,0
1025,0
394,0
1202,0
968,0
1087,0
977,0
352,0
95,0
625,0
571,0
37,0
485,0
143,1
1131,0
158,0
552,0
944,0
912,0
518,0
1113,0
863,0
236,0
1039,0
222,0
1353,0
1337,1
1511,1
120,0
661,0
588,0
1015,0
841,1
62,0
1351,1
811,0
193,0
235,1
181,0
1246,1
389,0
1042,0
521,1
669,0
1364,1
1313,0
1491,1
1093,1
1055,0
382,1
1306,0
1432,1
331,1
921,0
262,0
6,0
266,0
769,0
38,0
1532,1
545,0
118,1
783,0
652,0
905,0
706,1
105,0
1121,0
484,1
1487,0
971,0
683,0
20,1
242,0
50,0
162,1
441,0
867,0
731,0
883,0
1054,0
1261,0
822,0
301,0
723,0
172,0
707,0
658,0
987,0
284,0
1102,0
1336,0
1526,0
963,0
1264,1
1023,0
668,0
1423,0
788,0
210,0
344,0
306,0
